,intent,example
1868,greeting_hello,سلام و عرض ادب، امیدوارم که لحظات خوبی رو سپری کنید و روزتون عالی باشه.
1869,greeting_hello,سلام، وقت بخیر، امیدوارم که امروزتون پر از خوشی و موفقیت بوده باشه.
1870,greeting_hello,سلام و احترام خدمت شما، امیدوارم که حال و احوالتون خوب باشه و روز خوبی داشته باشید.
1871,greeting_hello,سلام، امیدوارم که روزتون خوب گذشته باشه و همه چیز بر وفق مرادتون باشه.
1872,greeting_hello,سلام و عرض ادب خدمت شما، امیدوارم که حالتون خوب باشه و روزتون پر از انرژی مثبت باشه.
1873,greeting_hello,سلام، وقتتون بخیر، امیدوارم که امروز روز موفقی برای شما بوده باشه.
1874,greeting_hello,سلام، امیدوارم که حالتون خوب باشه و روز خوبی داشته باشید.
1875,greeting_hello,سلام خدمت شما، امیدوارم که همه چیز خوب پیش بره و روزتون عالی باشه.
1876,greeting_hello,سلام، امیدوارم که لحظات خوبی رو سپری کنید و روز پر از خوشی داشته باشید.
1877,greeting_hello,سلام و عرض ادب، امیدوارم که روزتون پر از خوشی و موفقیت باشه.
1878,greeting_hello,سلام، امیدوارم که امروز روز موفقی برای شما بوده باشه و لحظات خوبی رو سپری کنید.
1879,greeting_hello,سلام و احترام، امیدوارم که روزتون عالی باشه و همه چیز خوب پیش بره.
1880,greeting_hello,سلام، امیدوارم که روز خوبی داشته باشید و همه چیز بر وفق مرادتون باشه.
1881,greeting_hello,سلام، امیدوارم که لحظات خوبی رو سپری کنید و روز پر از خوشی داشته باشید.
1882,greeting_hello,سلام بر شما، امیدوارم که روز خوبی رو سپری کرده باشید و حالتون عالی باشه.
1883,greeting_hello,سلام و عرض ادب، امیدوارم که روزتون پر از انرژی مثبت باشه و همه چیز بر وفق مرادتون باشه.
1884,greeting_hello,سلام
1885,greeting_hello,سلام و درود
1886,greeting_hello,السلام علیکم
1887,greeting_hello,سلام بر شما
1888,greeting_hello,سلام علیک
1889,greeting_hello,سلام عزیزم
1890,greeting_hello,سلام خانم
1891,greeting_hello,سلام آقا
1892,greeting_hello,سلام و عرض ادب
2005,affirm,آری، درست است
2006,affirm,بله، صحیح می‌باشد
2007,affirm,بله، همین‌طور است
2008,affirm,درست می‌فرمایید
2009,affirm,بله، همان است
2010,affirm,کاملاً درست است
2011,affirm,بله، موافقم
2012,affirm,آری، چنین است
2013,affirm,بله، به همین صورت
2014,affirm,بله، این‌طور است
2015,affirm,درست گفتید
2016,affirm,دقیقاً همین‌طور است
2017,affirm,بله، عیناً همین است
2018,affirm,صحیح است
2019,affirm,کاملاً صحیح است
2020,affirm,قطعاً همین‌طور است
2021,affirm,بی‌گمان درست است
2022,affirm,بله، کاملاً دقیق است
2023,affirm,آری، بی‌تردید
2024,affirm,بله، عین حقیقت است
2025,affirm,صحیح است، همان‌گونه که گفتید
2026,affirm,بله، هیچ شکی در آن نیست
2027,affirm,بله، درست برداشت کرده‌اید
2028,affirm,بله، هیچ اختلافی نیست
2029,affirm,کاملاً درسته
2030,affirm,بله، بی‌نقص است
2031,affirm,بله، چنین گفته‌اید
2032,affirm,بله، بدون شک
2033,affirm,بله، دقیقاً مطابق با حقیقت است
2034,affirm,بله، همینه
2035,affirm,آره، دقیقاً همینه
2036,affirm,بله، دقیقاً
2037,affirm,آره، همین‌جوره
2038,affirm,آره، همینه که گفتی
2039,affirm,آره، درسته
2040,affirm,آره، همینه که هست
2041,affirm,آره، موافقم
2042,affirm,آره، این‌طور می‌بینم
2043,affirm,آره، همین‌جوریه
2044,affirm,آره، بی‌شک
2045,affirm,آره، دقیقاً همینه که گفتی
2046,affirm,آره، همین‌طور که می‌گی
2047,affirm,آره، صحیح گفتی
2048,affirm,آره، قطعاً
2049,affirm,حتماً، درسته
2050,affirm,آره، همین‌طور که می‌گی
2051,affirm,بله، دقیقاً همینه
2052,affirm,آره، بدون شک
2053,affirm,آره، موافقم باهات
2054,affirm,آره، صد درصد
2055,affirm,بله، همینه که می‌گی
2056,affirm,آره، درست می‌فهمی
2057,affirm,آره، حرفت درسته
2058,affirm,آره، دقیقاً همین‌طور می‌بینم
2059,affirm,آره، همینه که می‌گی
2060,affirm,آره، درسته می‌گی
2061,affirm,آره، کاملاً موافقم
2062,affirm,آره، درسته
2063,affirm,بله، همینه
2064,affirm,آره، همین‌طور
2065,affirm,بله، کاملاً
2066,affirm,آره، درست
2067,affirm,بله، قطعاً
2068,affirm,آره، صحیح
2069,affirm,بله، همین‌طوره
2070,affirm,بله، موافقم
2071,affirm,بله، همین‌طور که گفتی
2072,affirm,آره، کاملاً
2073,affirm,بله، همینه که هست
2074,affirm,آره، موافقم باهات
2075,affirm,بله، بی‌شک
2076,affirm,درسته؟
2077,affirm,همینه؟
2078,affirm,قطعیه؟
2079,affirm,درست متوجه شدم؟
2080,affirm,قبول داری؟
2081,affirm,مطمئنی؟
2082,affirm,کاملاً درسته؟
2083,affirm,بی‌شک درسته؟
2084,affirm,صحیحه؟
2085,affirm,این‌طور که گفتی؟
2086,affirm,بی‌چون و چرا؟
2087,affirm,کاملاً متوجه شدم؟
2088,affirm,صحت داره؟
2089,affirm,واقعاً همین‌طوره؟
2090,affirm,آره، کاملاً درسته، همینی که گفتید.
2091,affirm,بله، موافقم با حرفتون، دقیقاً همین‌طور هست.
2092,affirm,آره، درسته، کاملاً مطابق با چیزی که اشاره کردید.
2093,affirm,بله، همین‌طور که می‌گید، هیچ تفاوتی نداره.
2094,affirm,آره، حرف شما کاملاً درسته، هیچ اختلاف نظری نیست.
2095,affirm,بله، درسته، همین‌طور که اشاره کردید.
2096,affirm,آره، دقیقاً همینی که شما گفتید، هیچ تغییری نیست.
2097,affirm,بله، کاملاً صحیح، همونی که گفتید.
2098,affirm,بله، همون‌طور که فرمودید، کاملاً درسته.
2099,affirm,آره، کاملاً همین‌طور که گفتید، درسته.
2100,affirm,بله، همون چیزی که اشاره کردید، صحیحه.
2101,affirm,بله، همین‌طور که می‌گید، درسته.
2102,affirm,آره، قطعاً همینه که فرمودید، هیچ شکی نیست.
2103,affirm,قطعاً، همینه که گفتید، هیچ تردیدی نیست.
2104,affirm,بله، شما درست فرمودید، همین‌طوره.
2105,affirm,آره، مطمئنم، دقیقاً همینه.
2106,affirm,آره، قطعاً، همین‌طور که اشاره کردید.
2107,affirm,بله، همون‌طور که توضیح دادید، درسته.
2108,affirm,آره، درسته، هیچ شکی نیست.
2109,affirm,بله، حرف شما کاملاً درسته، هیچ اختلافی نیست.
2110,affirm,آره، موافقم، همون‌طور که گفتید.
2111,affirm,بله، دقیقاً همینی که شما گفتید.
2112,affirm,آره، قطعاً همین‌طوره، درست فرمودید.
2113,affirm,بله، هیچ شکی نیست، درست گفتید.
2114,affirm,بله، مطمئنم که همینه.
2115,affirm,آره، کاملاً صحیحه، همون‌طور که گفتید.
2116,affirm,بله، درسته، هیچ تفاوتی نداره.
2117,affirm,آره، همینی که شما می‌فرمایید.
2118,affirm,بله، موافقم، درست گفتید.
2119,affirm,بله، کاملاً همین‌طور که شما بیان کردید.
2120,affirm,آره، دقیقا
2121,affirm,درسته
2122,affirm,آره درسته
2123,affirm,بله همینه
2124,affirm,بلی
2125,affirm,یس
2126,affirm,درسته درسته
2127,affirm,آری
2385,help,چطور کار می‌کنید؟
2386,help,روش کار شما به چه صورت است؟
2387,help,روال کار شما چگونه است؟
2388,help,شما چگونه کار می‌کنید؟
2389,help,شیوه کار شما چیست؟
2390,help,مکانیزم کار شما به چه شکل است؟
2391,help,می‌توانید نحوه کارتان را توضیح دهید؟
2392,help,چگونگی کار شما چگونه است؟
2393,help,روش عملکرد شما چیست؟
2394,help,مراحل کار شما چگونه است؟
2395,help,می‌شود روال کاری‌تان را توضیح دهید؟
2396,help,فرآیند کاری شما به چه صورت است؟
2397,help,لطفاً شیوه کارتان را شرح دهید
2398,help,می‌توانید مکانیزم کاری خود را توضیح دهید؟
2399,help,روش انجام کار شما چگونه است؟
2400,help,لطفاً فرآیند کار خود را توضیح دهید
2401,help,می‌شود درباره نحوه کارتان توضیح دهید؟
2402,help,می‌توانید روال کاری‌تان را شرح دهید؟
2403,help,نحوه انجام کار شما چیست؟
2404,help,لطفاً شیوه انجام کار خود را بگویید
2405,help,مراحل کاری شما به چه صورت است؟
2406,help,چگونه کارتان را انجام می‌دهید؟
2407,help,روال انجام کار شما چیست؟
2408,help,مکانیزم عملکرد شما چگونه است؟
2409,help,مراحل انجام کار شما چیست؟
2410,help,چطور می‌توانم با نحوه کار شما آشنا شوم؟
2411,help,جزئیات کار شما به چه صورت است؟
2412,help,روند کار شما چگونه است؟
2413,help,می‌توانید توضیح دهید که کارتان چگونه پیش می‌رود؟
2414,help,سیستم کاری شما چیست؟
2415,help,روش‌های کار شما به چه شکل است؟
2416,help,نحوه پیشبرد کارتان چیست؟
2417,help,می‌شود روش کارتان را توضیح دهید؟
2418,help,از چه روشی برای کارتان استفاده می‌کنید؟
2419,help,چطور کارتان را پیش می‌برید؟
2420,help,می‌توانید روال انجام کار خود را توضیح دهید؟
2421,help,می‌شود مراحل کارتان را بگویید؟
2422,help,روند انجام کار شما چیست؟
2423,help,مکانیزم کار شما چگونه پیش می‌رود؟
2424,help,شیوه انجام کار شما چیست؟
2425,help,چجوری کار می‌کنی؟
2426,help,کارت رو چطوری انجام می‌دی؟
2427,help,مکانیزمت چیه؟
2428,help,روال کارت چطوریه؟
2429,help,چطور کارتو پیش می‌بری؟
2430,help,روش کاریت چیه؟
2431,help,چیکار می‌کنی؟
2432,help,کارتو چطور انجام می‌دی؟
2433,help,فرآیند کارت چطوریه؟
2434,help,چه جوری کار می‌کنی؟
2435,help,چطوری کارتو جلو می‌بری؟
2436,help,سیستم کارت چیه؟
2437,help,چطور این کارو می‌کنی؟
2438,help,چه مدلی کار می‌کنی؟
2439,help,چطوری کارت رو پیش می‌بری؟
2440,help,چجوری کارت رو انجام می‌دی؟
2441,help,کارت چه جوری پیش می‌ره؟
2442,help,چطور این کارو پیش می‌بری؟
2443,help,چه شکلی کار می‌کنی؟
2444,help,چطور کارت رو انجام می‌دی؟
2445,help,کارتو چه طوری انجام می‌دی؟
2446,help,می‌شه بگی چطوری کار می‌کنی؟
2447,help,راه کارت چیه؟
2448,help,می‌خوام بدونم چجوری کار می‌کنی؟
2449,help,روشت برای کار چیه؟
2450,help,چه جوری کارت رو پیش می‌بری؟
2451,help,چطوری این کار رو می‌کنی؟
2452,help,چه جوری کارتو جلو می‌بری؟
2453,help,نحوه کارت چطوریه؟
2454,help,چطوری این کار رو انجام می‌دی؟
2455,help,چطور این کار رو جلو می‌بری؟
2456,help,کارتو چه جوری پیش می‌بری؟
2457,help,فرآیند کارت چطوریه؟
2458,help,چه طوری کارت رو می‌کنی؟
2459,help,چطوری انجامش می‌دی؟
2460,help,چه شکلی این کارو انجام می‌دی؟
2461,help,کارت رو چه طوری پیش می‌بری؟
2462,help,چه جوری کارت رو پیش می‌بری؟
2463,help,چطور کار می‌کنی؟
2464,help,چه مدلی این کار رو انجام می‌دی؟
2465,help,چجوری کار می‌کنی؟
2466,help,کارت چطوریه؟
2467,help,چطور انجامش می‌دی؟
2468,help,روشت چیه؟
2469,help,چیکار می‌کنی؟
2470,help,چه جوری انجام می‌دی؟
2471,help,نحوه کارت؟
2472,help,کارت چطور پیش می‌ره؟
2473,help,روش کاریت چطوره؟
2474,help,چه مدلی کار می‌کنی؟
2475,help,روشت چطوریه؟
2476,help,کارتو چطور می‌کنی؟
2477,help,چطور جلو می‌ری؟
2478,help,چی کار می‌کنی؟
2479,help,چطور پیش می‌بری؟
2480,help,مکانیزمت چیه؟
2481,help,چطوری پیش می‌ری؟
2482,help,روش انجام کارت؟
2483,help,چی‌جوری پیش می‌ری؟
2484,help,فرآیند کارت چیه؟
2485,help,نحوه کارت چطوره؟
2486,help,چطور کارتو انجام می‌دی؟
2487,help,سیستم کارت چطوریه؟
2488,help,کارتو چه جوری انجام می‌دی؟
2489,help,روال کارت چیه؟
2490,help,مکانیزمت چطوریه؟
2491,help,چطور پیش می‌بری؟
2492,help,روش کاریت چطوریه؟
2493,help,چجوری پیش می‌ری؟
2494,help,کارتو چه مدلی انجام می‌دی؟
2495,help,چه جوری کارت رو پیش می‌بری؟
2496,help,کارت چطوری پیش می‌ره؟
2497,help,چطوری این کارو انجام می‌دی؟
2498,help,روشت برای کار چیه؟
2499,help,چی کار می‌کنی؟
2500,help,چه طوری کار می‌کنی؟
2501,help,چه مدلی انجام می‌دی؟
2502,help,چطوری انجامش می‌دی؟
2503,help,مراحل کارت چیه؟
2504,help,چطور پیش می‌ری؟
2505,help,می‌تونی توضیح بدی که دقیقاً چه جوری کارتو انجام می‌دی و روشت چیه؟
2506,help,چطور می‌تونی بگی که کارهای روزانه‌ات رو به چه شکلی پیش می‌بری؟
2507,help,میشه توضیح بدی که فرآیند کارت چطور پیش می‌ره و چه مراحلی رو طی می‌کنی؟
2508,help,من دوست دارم بدونم که چطوری کارت رو انجام می‌دی و روشت چیه؟
2509,help,لطفاً بگو که نحوه انجام کارت به چه صورته و چطور پیش می‌ره؟
2510,help,چه مراحلی رو برای انجام کارت طی می‌کنی و چطوری پیش می‌بری؟
2511,help,اگر می‌تونی بگو که دقیقاً چطور کار می‌کنی و روشت چیه؟
2512,help,چطور می‌شه فهمید که کارت رو چطور انجام می‌دی و از چه روشی استفاده می‌کنی؟
2513,help,روال کاری‌ات چطوریه و چه مراحلی رو طی می‌کنی؟
2514,help,چگونه می‌تونی توضیح بدی که کارهای روزانه‌ات رو چطور انجام می‌دی؟
2515,help,آیا می‌شه بگی که دقیقاً کارت رو به چه شکلی پیش می‌بری؟
2516,help,فرآیند کاری‌ات به چه صورته و چطور پیش می‌ره؟
2517,help,مراحل انجام کارت چطوریه و چطور پیش می‌ری؟
2518,help,می‌تونی بگی که کارت رو چطور انجام می‌دی و از چه روشی استفاده می‌کنی؟
2519,help,نحوه انجام کارت چطوریه و روشت چیه؟
2520,help,چه روالی رو برای کارت طی می‌کنی و چطور پیش می‌ری؟
2521,help,آیا می‌تونی توضیح بدی که کارت چطور پیش می‌ره و چطوری انجامش می‌دی؟
2522,help,لطفاً بگو که فرآیند کارت چطوریه و چطور پیش می‌ره؟
2523,help,چه مراحلی رو برای انجام کارت طی می‌کنی و چطور پیش می‌ری؟
2524,help,می‌تونی بگی که دقیقاً کارت رو به چه شکلی پیش می‌بری و از چه روشی استفاده می‌کنی؟
2525,help,لطفاً توضیح بده که چگونه کارهایت را انجام می‌دهی و از چه روشی استفاده می‌کنی؟
2526,help,می‌تونی بگی که فرآیند کارت چطور پیش می‌ره و چه تکنیکی استفاده می‌کنی؟
2527,help,چه مراحلی رو برای انجام کارت طی می‌کنی و چطور به نتیجه می‌رسی؟
2528,help,من علاقه‌مندم بدونم که روال کاری‌ات چطوریه و چطور انجامش می‌دی؟
2529,help,می‌تونی توضیح بدی که چطور کارهای روزانه‌ات رو مدیریت می‌کنی و چطور پیش می‌ری؟
2530,help,لطفاً بگو که کارت چطور پیش می‌ره و چه روشی داری؟
2531,help,چه مراحلی رو در فرآیند کاری‌ات طی می‌کنی و چطور پیشرفت می‌کنی؟
2532,help,می‌تونی بگی که دقیقاً چطور کارت رو انجام می‌دی و از چه روشی استفاده می‌کنی؟
2533,help,نحوه انجام کارت به چه صورته و چطور پیش می‌ری؟
2534,help,آیا می‌تونی توضیح بدی که کارهای روزانه‌ات رو به چه شکلی پیش می‌بری؟
2535,help,فرآیند کارت به چه صورته و چطور انجامش می‌دی؟
2536,help,مراحلی که برای انجام کارت طی می‌کنی چی هستن و چطور پیشرفت می‌کنی؟
2537,help,می‌تونی بگی که چطور کارت رو انجام می‌دی و از چه تکنیکی استفاده می‌کنی؟
2538,help,روال کاری‌ات به چه صورته و چطور پیش می‌ری؟
2539,help,لطفاً توضیح بده که چطور کارت رو انجام می‌دی و چه روشی استفاده می‌کنی؟
2540,help,چطور می‌شه فهمید که کارت رو چطور پیش می‌بری و از چه روشی استفاده می‌کنی؟
2541,help,چه مراحلی رو برای پیشبرد کارت طی می‌کنی و چطور موفق می‌شی؟
2542,help,آیا می‌تونی بگی که فرآیند کاری‌ات چطوریه و چطور پیش می‌ره؟
2543,help,می‌تونی بگی که چطور کارت رو به نتیجه می‌رسونی و چه روشی داری؟
2544,help,نحوه انجام کارت به چه شکلیه و چطور پیشرفت می‌کنی؟
2545,help,help
2546,help,تو چطوری کار میکنی
2547,help,دیگه چی بلدی؟
2548,help,راهنما
2549,help,راهنما را بیار
2550,help,راهنما رو بیار
2551,help,راهنما رو میخوام
2552,help,راهنما رو نشون بده
2553,help,راهنمایی کن
2554,help,لطفا راهنمایی بفرمایید
2555,help,لطفا منو راهنمایی کن
2556,help,منو
2557,help,منو رو بیار
2558,help,منو رو نشون بده
2559,help,نحوه کارکرد
2560,help,نحوه کارکرد شما چگونه است
2561,help,چجوری کار میکنی
2562,help,چطور باهات کار کنم
2563,help,چطور میشه با تو کار کرد
2564,help,چطور کار میکنی
2565,help,چطوری کار میکنی
2566,help,چه خدمتی میتونی ارائه بدی
2567,help,چه خدمتی میتونی بکنی
2568,help,چه طور میشه با تو کار کرد
2569,help,چه کار بلدی ؟
2570,help,چه کار میتونی بکنی
2571,help,چه کارا انجام میدی
2572,help,چه کارا بلدی؟
2573,help,چه کارا میتونی انجام بدی
2574,help,چه کارا میتونی بکنی
2575,help,چه کارایی انجام میدی
2576,help,چه کارایی بلدی
2577,help,چه کارایی میتونی انجام بدی
2578,help,چه کارایی میتونی انجام بدی؟؟
2579,help,چه کارایی میتونی بکنی
2580,help,چه کارهای بلدی
2581,help,چه کارهایی برای من می توانید انجام دهید
2582,help,چه کارهایی میتونی انجام بدی
2583,help,چه کاری میتونی بکنی
2584,help,چه کمکی می‌تونی انجام بدی
2585,help,چی بلدی
2586,help,چی داری برام
2587,help,چی داری برامون
2588,help,چی چی بلدی
2589,help,چیا بلدی
2590,help,چیا بلدی؟
2591,help,چیکار میتونی برام بکنی
2592,help,کمک کن
2593,help,هلپ
2594,help,کمک
2595,help,به چه دردی میخوری
2596,help,جدیدا چیا بلد شدی؟
2597,help,از خودت بگو
2598,help,کار جدیدی یاد نگرفتی؟
2599,help,یک بار دیگه بگو چه کار هایی میکنی
2600,help,تو چی بلدی
2601,help,چیکارا می تونی بکنی
2602,help,چطور میشه باهات حرف زد ؟
2603,help,چیکار بلدی بکنی
2604,help,چکار بلدی
2605,help,چیکار میتونی انجام بدی
2606,help,دیگه چه امکاناتی داری؟
2607,help,چیزی بلدی
2608,help,چه کاری بلدی
2609,help,چکاری ازت برمیاد؟
2610,help,چه کاری بلد
2611,help,من گفتم لیست کارهایی که بلدی بیار
2612,help,خدماتت چیه؟
2613,help,چکاری ازت بر میاد
2614,help,چه  کاری ازت بر میاد
2615,help,چه چیزهایی یاد گرفتی
2616,help,ج کار میکنی
2617,help,میگم چی بلدی
2618,help,چه قابلیت هایی داری ؟
2619,help,چت بات تهران من به چه دردی میخوره؟
2620,help,چه سوالایی رو میتونی جواب بدی؟
2621,cancel,نمی‌خواهم ادامه دهم
2622,cancel,از ادامه‌ی این کار صرف‌نظر کردم
2623,cancel,مایل به ادامه‌ی این فرآیند نیستم
2624,cancel,انجام این کار را متوقف کن
2625,cancel,نیازی به ادامه‌ی این کار ندارم
2626,cancel,قصد ادامه دادن ندارم
2627,cancel,تصمیم به توقف این کار گرفتم
2628,cancel,از ادامه‌ی این مسیر صرف‌نظر کردم
2629,cancel,این کار را ادامه نمی‌دهم
2630,cancel,تصمیم به کنسل کردن دارم
2631,cancel,انجام این کار دیگر ضروری نیست
2632,cancel,ادامه‌ی این کار لازم نیست
2633,cancel,لطفاً فرآیند را متوقف کنید
2634,cancel,از پیگیری این مورد صرف‌نظر کردم
2635,cancel,دیگر نیازی به ادامه ندارم
2636,cancel,نمی‌خواهم این کار را انجام دهم
2637,cancel,انجام این کار را نمی‌خواهم
2638,cancel,از پیگیری این موضوع منصرف شدم
2639,cancel,تصمیم به متوقف کردن این کار گرفتم
2640,cancel,نیازی به ادامه‌ی این فرآیند ندارم
2641,cancel,نمی‌خواهم این فرآیند را ادامه دهم
2642,cancel,از ادامه دادن منصرف شدم
2643,cancel,دیگر نمی‌خواهم این کار را پیش ببرم
2644,cancel,لطفاً این کار را متوقف کنید
2645,cancel,نیازی به ادامه‌ی این اقدام نیست
2646,cancel,تصمیم به توقف فرآیند گرفتم
2647,cancel,ادامه دادن این کار را نمی‌خواهم
2648,cancel,انجام این کار را نمی‌پذیرم
2649,cancel,دیگر قصد ادامه‌ی این مسیر را ندارم
2650,cancel,لطفاً کار را کنسل کنید
2651,cancel,از ادامه‌ی این اقدام معافم
2652,cancel,از پیشبرد این کار منصرف شدم
2653,cancel,دیگر نیازی به این کار ندارم
2654,cancel,تصمیم به پایان دادن به این کار گرفتم
2655,cancel,ادامه‌ی این موضوع لازم نیست
2656,cancel,لطفاً پیگیری را متوقف کنید
2657,cancel,از ادامه‌ی این برنامه منصرف شدم
2658,cancel,انجام این فرآیند را متوقف کنید
2659,cancel,نیازی به پیگیری این موضوع ندارم
2660,cancel,از ادامه‌ی این پروژه صرف‌نظر کردم
2661,cancel,دیگه نمی‌خوام ادامه بدم
2662,cancel,بیخیال، ادامه نمی‌دم
2663,cancel,نمی‌خوام دیگه پیگیری کنم
2664,cancel,از پیگیریش صرف‌نظر کردم
2665,cancel,لطفاً ادامه نده
2666,cancel,نمی‌خوام این کارو انجام بدم
2667,cancel,ولش کن، منصرف شدم
2668,cancel,دیگه نیازی نیست ادامه بدی
2669,cancel,نمی‌خوام پیش ببرم
2670,cancel,کنسلش کن
2671,cancel,دیگه ضرورتی نداره
2672,cancel,بی‌خیال، نمی‌خوام ادامه بدم
2673,cancel,پیگیری لازم نیست
2674,cancel,نیازی به ادامه نیست
2675,cancel,نظرم عوض شد، دیگه نمی‌خوام
2676,cancel,لطفاً بیخیالش شو
2677,cancel,از ادامه‌ی این کار منصرف شدم
2678,cancel,دیگه ادامه نمی‌دم
2679,cancel,کار رو متوقف کن
2680,cancel,دیگه این مسیر رو نمی‌خوام پیش ببرم
2681,cancel,دیگه نمی‌خوام کاری کنم
2682,cancel,ادامه نده، منصرف شدم
2683,cancel,نمی‌خوام دیگه پیش برم
2684,cancel,دیگه نیاز نیست پیگیری کنی
2685,cancel,بیخیالش شو
2686,cancel,لطفاً ادامه نده
2687,cancel,نظرم عوض شد، نمی‌خوام
2688,cancel,از ادامه‌ دادن پشیمون شدم
2689,cancel,دیگه نیازی نیست کاری کنی
2690,cancel,ولش کن، نمی‌خوام ادامه بدم
2691,cancel,بی‌خیال، نمی‌خوام دیگه
2692,cancel,نیازی به ادامه‌ی کار نیست
2693,cancel,لطفاً دیگه پیگیری نکن
2694,cancel,نمی‌خوام بیشتر از این ادامه بدم
2695,cancel,از ادامه منصرف شدم
2696,cancel,ادامه‌ دادن لازم نیست
2697,cancel,دیگه نمی‌خوام این مسیر رو برم
2698,cancel,کاری نکن، منصرف شدم
2699,cancel,دیگه نمی‌خوام پیگیری کنم
2700,cancel,متوقفش کن، نمی‌خوام ادامه بدم
2701,cancel,نمی‌خوام ادامه بدم
2702,cancel,پشیمون شدم
2703,cancel,دیگه نمی‌خوام
2704,cancel,متوقفش کن
2705,cancel,منصرف شدم
2706,cancel,ادامه نده
2707,cancel,کنسل کن
2708,cancel,نمی‌خوام پیش برم
2709,cancel,بیخیال
2710,cancel,ولش کن
2711,cancel,پیگیری نکن
2712,cancel,نیاز نیست
2713,cancel,متوقف
2714,cancel,نه، نمی‌خوام
2715,cancel,نظرم عوض شد
2716,cancel,نمی‌خوام ادامه بدم
2717,cancel,نیازی نیست
2718,cancel,ادامه ندین
2719,cancel,دست نگه دار
2720,cancel,کارت رو متوقف کن
2721,cancel,دیگه نمی‌خوام پیگیری کنم
2722,cancel,بیخیالش شو
2723,cancel,دیگه لازم نیست
2724,cancel,نمی‌خوام ادامه بدم
2725,cancel,ولش کن
2726,cancel,پشیمون شدم، نمی‌خوام
2727,cancel,پیگیری نکن
2728,cancel,نمی‌خوام بیشتر ادامه بدم
2729,cancel,لازم نیست ادامه بدی
2730,cancel,ادامه ندین لطفاً
2731,cancel,بی‌خیال شو
2732,cancel,نمی‌خوام دیگه
2733,cancel,لطفاً پیگیری نکن
2734,cancel,دیگه نیازی نیست
2735,cancel,پیگیری لازم نیست
2736,cancel,بی‌خیال، نمی‌خوام
2737,cancel,انجام نده
2738,cancel,نیازی نیست پیگیری کنی
2739,cancel,پیگیری نکن لطفاً
2740,cancel,دیگه نمی‌خوام کاری کنم
2741,cancel,نمی‌خوام ادامه بدم چون فکر می‌کنم این کار دیگه لازم نیست و بهتره وقت و انرژی‌م رو جای دیگه‌ای صرف کنم.
2742,cancel,از ادامه‌ی این کار منصرف شدم چون به نظرم الان دیگه این موضوع اهمیت قبلی رو نداره.
2743,cancel,مایل به ادامه‌ی این فرآیند نیستم چون احساس می‌کنم دیگه به نتیجه نمی‌رسیم و بهتره تمرکزمون رو به چیز دیگه‌ای معطوف کنیم.
2744,cancel,ولش کن، چون فکر می‌کنم این مسیر دیگه به جایی نمی‌رسه و بهتره متوقفش کنیم.
2745,cancel,بیخیال شدم و نمی‌خوام ادامه بدم چون حس می‌کنم این موضوع اهمیتش رو از دست داده.
2746,cancel,نه نمی‌خوام اینکارو انجام بدم چون به نظرم دیگه ضرورتی نداره و می‌تونیم وقتمون رو به کار دیگه‌ای اختصاص بدیم.
2747,cancel,نظر من عوض شد، نیازی به انجام این کار ندارم چون به نظرم دیگه این موضوع فوریت نداره.
2748,cancel,نظرم عوض شد و دیگه نمی‌خوام ادامه بدم چون به این نتیجه رسیدم که این کار بی‌فایده است.
2749,cancel,بیخیال شدم چون فکر می‌کنم این کار دیگه ارزشی نداره و بهتره تمرکز رو به جای دیگه‌ای منتقل کنیم.
2750,cancel,توقف چون به نظرم دیگه نیازی به ادامه‌ی این کار نیست و می‌تونیم وقتمون رو بهتر استفاده کنیم.
2751,cancel,متوقف کن چون احساس می‌کنم این مسیر به جایی نمی‌رسه و بهتره روش دیگه‌ای رو امتحان کنیم.
2752,cancel,بی‌خیال شو چون به نظرم دیگه این موضوع ارزش پیگیری نداره و بهتره ازش صرف‌نظر کنیم.
2753,cancel,هیچی ولش کن چون فکر می‌کنم این کار بی‌فایده است و بهتره به چیز دیگه‌ای بپردازیم.
2754,cancel,کنسل کن چون دیگه به این نتیجه رسیدم که این کار فایده‌ای نداره و بهتره وقت رو هدر ندیم.
2755,cancel,از ادامه دادن منصرف شدم چون به نظرم این کار دیگه اهمیت قبلی رو نداره و بهتره متوقفش کنیم.
2756,cancel,تشکر ممنون نیازی به ادامه نیست چون به این نتیجه رسیدم که این موضوع دیگه مهم نیست و می‌تونیم وقتمون رو به کار دیگه‌ای اختصاص بدیم.
2757,cancel,ادامه نده چون فکر می‌کنم این مسیر به جایی نمی‌رسه و بهتره روش دیگه‌ای رو امتحان کنیم.
2758,cancel,نیازی نیست که ادامه دهی، منصرف شدم چون حس می‌کنم این کار دیگه ضروری نیست و بهتره تمرکز رو به جای دیگه‌ای منتقل کنیم.
2759,cancel,ادامه فرآیندی که داری انجام می‌دهی را کنسل کن چون به نظرم دیگه این موضوع فوریت نداره و می‌تونیم به چیز دیگه‌ای بپردازیم.
2760,cancel,کارت را متوقف کن چون به این نتیجه رسیدم که این کار بی‌فایده است و بهتره وقت رو هدر ندیم و به چیز دیگه‌ای بپردازیم.
2761,cancel,نمی‌خوام ادامه بدم، چون به نظرم دیگه این موضوع اولویت نداره و باید به مسائل مهم‌تری بپردازیم.
2762,cancel,از ادامه‌ی این کار منصرف شدم، چون فکر می‌کنم این مسیر به نتیجه نمی‌رسه و بهتره تمرکزمون رو جای دیگه‌ای بذاریم.
